amfi_code,scheme_name,fund_house,category,sub_category,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,worst_dd_start,worst_dd_end,scorecard
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,1.46,20.37595706234765,33.991970400445304,30.974107501859027,1.0682238272314732,1.490738952294708,-11.265729075028275,2023-07-11,2023-10-20,86.25
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,1.36,29.627681171526877,31.769242852237323,32.82740607461121,0.8832556184698839,1.2858427838168305,-18.188513572116292,2024-10-24,2025-01-23,82.88
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,1.45,26.677583918827153,29.57511058901836,30.907454754005492,0.965560651744012,1.4795034584167766,-12.97396816518679,2022-03-07,2022-04-13,82.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,1.38,53.277195495404996,32.43397122906222,30.12315310072722,0.8082678003905593,1.1442164603950202,-16.217208574644847,2022-03-11,2022-05-12,80.75
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,0.8,13.073788394478303,32.478927222623,23.29511862010305,0.7146822636441237,1.0639638792991957,-12.588275606922517,2022-10-04,2023-05-30,79.38
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,1.38,22.277897154308548,35.10252788903541,28.214417193652032,0.7305467735561727,1.0552844773147763,-20.960883862039193,2022-04-14,2022-08-11,78.25
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,1.54,60.489297118400344,30.448613060027817,25.804686425584002,0.8609773262277756,1.2914833497690066,-15.012385498645331,2023-08-24,2024-02-05,74.19
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,1.6,39.78380253854239,29.17135767741186,31.94952310833252,0.9190465356358282,1.3528150221233652,-16.39674294693263,2023-08-10,2023-10-20,73.69
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,1.43,82.85157468100046,26.66309129954312,32.423536152454616,0.7116901743847246,1.0672557743438265,-28.706005721764548,2024-08-28,2025-05-14,68.0
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,1.6,47.96379447633372,28.960211096593724,23.53836133468803,0.717408995989017,1.0639085968011799,-11.291596329323072,2023-04-24,2023-07-05,67.56
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,1.52,65.19546577826334,26.99350260734621,32.287440451573616,0.7144216579881013,1.0309617308730288,-31.171900300634213,2024-05-03,2025-01-03,67.31
